,CD,BA
MARK1,463,522
C1orf115,170,221
MARC2,7,6
MARC1,23,19
RNU6ATAC35P,1,0
AL445423.1,18,32
LINC01352,9,22
HLX-AS1,110,87
HLX,16992,14919
LINC02817,9,6
AL360013.2,1,3
AL360013.3,2,0
AL360013.4,1,1
DUSP10,47568,52876
LINC01655,3,4
LINC02257,0,1
LINC02474,1,0
LINC01705,6,8
AL356108.1,103,107
AL513314.1,0,0
AL513314.2,1005,1379
HHIPL2,73,94
TAF1A,35033,41608
TAF1A-AS1,3594,3833
MIA3,179816,210953
AL592148.3,2972,3255
AIDA,159056,179111
BROX,115985,129718
FAM177B,39,35
AL392172.2,86,97
AL392172.1,21115,22394
DISP1,4631,4920
AL929091.1,382,451
TLR5,11350,12518
AL359979.2,62,63
AL359979.1,1,2
SUSD4,4020,3775
CCDC185,0,0
CAPN8,111,135
CAPN2,321784,363028
TP53BP2,91640,107007
AC138393.3,436,503
FBXO28,43869,51936
DEGS1,167566,184098
AC092809.2,10,14
AC092809.4,294,355
NVL,82094,97514
CNIH4,298399,330382
WDR26,104835,110344
CNIH3,3720,4073
AC096537.1,55,72
AL596330.2,0,0
AL596330.1,0,1
LINC02813,5,2
AL391811.1,0,1
DNAH14,5608,6110
LBR,555588,649643
LINC02765,345,373
AC092811.1,22,22
ENAH,891,1452
AC099066.2,5,2
AC099066.1,0,1
SRP9,650289,711075
EPHX1,928,1015
AL591895.1,4235,4690
TMEM63A,33872,39138
LEFTY1,95,113
PYCR2,174850,200429
AL117348.1,0,0
LEFTY2,3,1
SDE2,62651,76992
AL512343.2,486,584
H3F3A,3773887,4247176
LINC01703,416,430
ACBD3,215567,251521
ACBD3-AS1,28,44
MIXL1,1056,893
LIN9,28082,32322
PARP1,762437,875331
AL359704.3,0,0
STUM,16,17
ITPKB,37726,42530
ITPKB-IT1,258,316
ITPKB-AS1,1043,1414
AL359732.1,7,10
PSEN2,9181,10728
COQ8A,29841,32256
CDC42BPA,12580,11791
AL353689.2,1,1
AL353689.3,42,26
AL451047.1,1,0
AL627308.3,39,39
LINC01641,5,8
AL451054.4,0,1
ZNF678,11726,12970
SNAP47,78818,95830
JMJD4,52001,65407
SNAP47-AS1,10,13
AL731702.1,652,869
PRSS38,10,27
WNT9A,280,319
WNT3A,0,0
LINC02809,289,315
ARF1,875283,1015436
C1orf35,217229,245890
MRPL55,280913,316728
AL136379.1,153,181
GUK1,1311039,1462367
GJC2,769,926
IBA57-DT,216,211
IBA57,16246,18169
OBSCN-AS1,257,281
OBSCN,7574,7927
AL353593.1,943,1014
AL353593.2,7,4
AL353593.3,38,37
AL670729.3,14,15
AL670729.2,38,40
TRIM11,59826,71151
AL670729.1,10,16
AL139288.1,1,12
TRIM17,1431,1465
HIST3H3,24,40
HIST3H2A,177032,301509
HIST3H2BB,7947,9456
RNF187,212822,225865
RHOU,9917,12284
LINC02815,0,1
LINC02814,12,9
AL162595.2,1,0
TMEM78,23,32
AL162595.1,3642,3871
RAB4A,144629,167043
SPHAR,0,0
AL117350.1,473,541
CCSAP,60080,64523
ACTA1,648,893
NUP133,50562,57321
AL160004.1,0,0
AL121990.1,184,214
ABCB10,33568,36559
TAF5L,32713,36724
URB2,36493,42741
LINC01682,0,0
LINC01736,0,0
GALNT2,121628,132223
AL136988.2,37,45
AL136988.1,217,228
PGBD5,259,281
AL133516.1,0,0
LINC01737,0,0
COG2,123369,139208
AL158214.2,2052,2025
AGT,2,3
AL512328.1,16,7
CAPN9,4,6
AL118511.2,0,0
C1orf198,8694,7962
AL118511.1,72,64
AL118511.4,12,5
AL118511.3,42,33
TTC13,14879,16837
ARV1,63271,71843
FAM89A,68167,78712
TRIM67,21,24
AL109810.2,0,0
C1orf131,250240,289895
GNPAT,82168,90645
EXOC8,27067,30294
SPRTN,48274,57092
EGLN1,108373,118793
AL445524.1,52534,52419
TSNAX,244183,270974
LINC00582,1,6
DISC1,5180,5860
AL136171.2,1979,2265
DISC1-IT1,169,220
AL353052.1,0,0
AL353052.2,0,0
SIPA1L2,11437,12187
LINC01745,0,0
LINC01744,1,7
MAP10,11346,13408
AL122003.2,15,18
NTPCR,100549,116068
PCNX2,43668,45920
MAP3K21,4327,3785
AL360006.1,0,0
KCNK1,17142,16868
AL357972.1,14,13
AL663058.2,4,0
AL713868.1,0,0
SLC35F3,19890,22057
AL122008.3,11,10
AL122008.1,96,118
AL122008.4,17,5
AL355472.2,56,52
AL355472.3,514,516
COA6-AS1,12519,13772
COA6,378251,434555
TARBP1,97514,108915
LINC01354,8,7
AL161640.2,3,3
AL161640.3,3,1
AL161640.1,0,0
IRF2BP2,298111,315384
AL160408.2,1201,1122
LINC00184,360,231
AL160408.5,1,0
AL160408.1,34,32
AL160408.4,6,4
AL160408.3,56,72
AL160408.6,0,0
LINC01132,6566,6411
AL360294.1,71,92
AL391832.4,176,119
AL391832.1,227,204
AL391832.2,40735,35626
AL391832.3,2610,2622
LINC01348,173,151
AL732292.2,623,732
TOMM20,945787,1065612
RBM34,33264,38507
ARID4B,456835,531579
GGPS1,54182,60068
TBCE,44625,50365
AL357556.4,271,291
TBCE.1,14467,16956
B3GALNT2,41743,49600
GNG4,332127,479486
LYST,286278,343342
LYST-AS1,13,30
AL139161.1,11,11
LINC02768,42,41
NID1,1071,1615
AL122018.2,2,2
GPR137B,22085,25262
ERO1B,26527,30427
EDARADD,42640,43268
LGALS8,172105,180804
LGALS8-AS1,2255,2450
AL359921.2,2742,3075
AL359921.1,585,639
HEATR1,135960,155922
ACTN2,485,639
MTR,159325,171664
MT1HL1,4,6
AL359259.1,0,1
RYR2,1317,1491
AL359924.1,1,2
ZP4,3,8
MTRNR2L11,54,50
AL356010.2,0,0
LINC01139,0,0
AL359551.1,29,47
AL583825.1,0,0
AC093426.2,0,0
AC093426.1,142,147
CHRM3,282,223
CHRM3-AS2,38385,36579
CHRM3-AS1,0,0
AL356361.2,1,0
AL356361.3,0,0
FMN2,5,1
AL359918.2,0,0
AL590490.1,1,0
GREM2,1256,1151
AL358176.1,0,0
AL358176.4,7,5
AL365184.2,0,0
AL365184.1,1,0
RGS7,3,3
AL359764.1,1,1
AL359764.2,78,67
AL359764.3,41,21
FH,164438,193486
KMO,2358,2394
OPN3,40628,42446
CHML,78761,90032
AL133390.1,700,742
WDR64,142,163
EXO1,41324,47414
BECN2,0,0
MAP1LC3C,3,5
PLD5,7,17
AL591686.2,0,1
AL591686.1,1,0
AL606534.3,0,0
CEP170,131800,147189
AL606534.1,55,84
AL606534.2,2,5
SDCCAG8,94133,103611
AKT3,78162,88113
AL591721.1,57,37
AL662889.1,35,28
AKT3-IT1,2422,2659
LINC02774,1,2
ZBTB18,8764,9468
AL590483.1,0,0
AL590483.4,0,1
AL590483.2,0,0
AL358177.1,0,0
C1orf100,59,61
AL645465.1,214,216
ADSS,465841,511670
CATSPERE,603,561
DESI2,190084,220930
AL451007.3,108,109
AL451007.2,211,230
BX323046.2,1704,1739
COX20,546809,591335
HNRNPU,2440192,2902704
BX323046.1,376,378
AL356512.1,4879,5577
EFCAB2,14034,16131
KIF26B,1602,2050
KIF26B-AS1,0,1
AC104462.2,0,1
AC104462.1,11,6
SMYD3,55773,61389
AC118555.1,14,6
AC092801.1,80,98
SMYD3-IT1,263,276
LINC01743,11,11
TFB2M,55058,66139
CNST,57625,68205
AL591623.1,3080,3669
AL591848.3,518,536
AL591848.2,75,86
SCCPDH,148572,168323
AL591848.4,716,715
LINC01341,1515,1695
AHCTF1,181239,214187
ZNF695,2880,3416
ZNF670,6206,7192
ZNF669,21043,25814
AL627095.2,3,5
C1orf229,7,7
ZNF124,24893,28352
AL390728.6,15516,16399
AL390728.5,9407,10249
ZNF496,12985,14413
AC104335.1,22,19
AC104335.2,1,11
NLRP3,370,391
OR2B11,72,88
GCSAML,492,488
OR2C3,15,15
GCSAML-AS1,0,0
AL606804.1,1,0
OR2G2,3,0
OR2G3,0,0
AL390860.1,34,24
OR13G1,0,0
OR6F1,1,0
OR14A2,0,0
OR14K1,0,1
OR1C1,0,0
OR14A16,0,0
OR11L1,0,0
TRIM58,2871,4186
OR2W3,6,12
OR2T8,8,7
OR2AJ1,10,6
OR2L8,33,36
OR2AK2,23,26
OR2L5,67,65
OR2L2,640,735
OR2L3,10,22
OR2L13,14,16
OR2M5,0,0
OR2M2,0,0
OR2M3,0,4
OR2M4,2,3
OR2T33,1,1
OR2T12,0,1
OR2M7,0,0
OR14C36,0,0
OR2T4,0,0
OR2T6,2,1
OR2T1,0,0
OR2T2,3,3
OR2T3,0,0
AC138089.1,48,72
OR2T5,1,1
OR2G6,81,58
AC098483.1,760,392
OR2T29,0,0
OR2T34,0,0
OR2T10,6,17
OR2T11,9,11
OR2T35,0,0
OR2T27,0,0
OR14I1,3,1
LYPD8,4,2
SH3BP5L,18542,20917
ZNF672,40650,45897
ZNF692,26925,30768
AL672291.1,2,2
PGBD2,19177,23151
FAM110C,3378,3349
AC079779.1,0,0
SH3YL1,57868,63485
ACP1,661150,739037
ALKAL2,1894,1327
AC079779.2,443,429
AC079779.3,3,4
AC079779.4,1,0
LINC01865,218,169
AC105393.2,5,4
AC105393.1,19,8
LINC01874,0,0
AC093326.2,0,0
LINC01875,0,0
AC093326.1,7,13
TMEM18,200142,231466
AC092159.2,305,317
AC092159.3,0,1
AC092159.1,16,14
AC116609.3,44,46
AC116609.2,0,0
AC116609.1,4,5
LINC01115,114,100
LINC01939,4,6
AC113607.1,0,0
SNTG2-AS1,129,130
SNTG2,163,178
AC114808.1,0,0
AC114808.2,0,0
AC108462.1,0,1
AC105450.1,0,0
TPO,782,1871
AC141930.1,0,0
AC141930.2,4,16
AC144450.1,51,62
PXDN,1136,2362
MYT1L,236,278
AC093390.2,454,776
AC093390.1,0,0
MYT1L-AS1,0,0
AC018685.2,0,0
AC018685.3,0,1
AC011995.2,3,2
AC018685.1,0,0
AC011995.1,0,0
LINC01250,14,10
AC019118.2,49,68
AC019118.1,1,3
EIPR1,90913,103077
EIPR1-IT1,463,544
TRAPPC12,54569,63925
TRAPPC12-AS1,172,150
AC114810.1,120,152
ADI1,239556,269235
AC231981.1,7211,8237
AC108488.1,7467,8199
RNASEH1,270743,311881
RNASEH1-AS1,48113,55575
AC108488.3,6203,6582
RPS7,10019057,11217074
COLEC11,38,30
AC010907.2,4,7
ALLC,0,1
AC010907.1,2,0
DCDC2C,6,5
LINC01304,13,12
AC012445.1,0,1
LINC01249,0,1
AC107057.1,0,0
LINC01248,0,0
AC108025.1,13,12
SOX11,0,3
AC010729.2,0,1
AC010729.1,1,0
LINC01810,0,0
SILC1,709,950
AC017053.1,0,0
LINC01247,1,6
LINC01824,0,0
MIR7515HG,0,0
AC097517.1,0,0
LINC00487,6,9
NRIR,98,112
CMPK2,4247,7029
RSAD2,4779,8164
AC017076.1,762,706
RNF144A-AS1,6998,6918
RNF144A,18371,17974
AC068481.1,64,65
AC010904.2,396,390
AC013460.1,3821,4519
AC092580.4,4012,4833
AC092580.2,4876,5100
LINC01871,482032,552466
AC007463.1,6,9
LINC00298,78,100
AC007463.2,1,1
LINC00299,5526,6889
U91324.1,24,31
LINC01814,1937,2534
AC092617.1,1018,1172
AC011747.1,2,9
ID2-AS1,959,1158
ID2,753211,977571
KIDINS220,110536,127869
MBOAT2,4439,4697
AC093904.2,0,0
AC093904.4,0,2
AC093904.3,7,11
AC093904.1,0,0
ASAP2,1140,1482
ITGB1BP1,319439,379106
CPSF3,137241,158661
IAH1,277247,311001
ADAM17,63900,71072
AC080162.1,42,58
AC073195.1,5961,6679
YWHAQ,743882,868776
AC082651.1,222,205
AC082651.4,39,48
AC082651.3,816,1151
TAF1B,129328,153412
AC010969.2,12641,14496
AC010969.3,26,32
GRHL1,1268,1352
AC010969.1,3,1
AC104794.4,0,0
AC104794.3,4140,4674
KLF11,7492,8779
AC104794.5,155,111
CYS1,6960,6600
AC104794.2,7,5
RRM2,561912,620041
AC007240.3,2041,2326
HPCAL1,111317,121932
ODC1,366158,521473
ODC1-DT,3634,4373
NOL10,123832,151210
AC007314.1,2,2
RN7SL832P,4593,5324
AC092687.2,2,0
ATP6V1C2,7411,7785
AC092687.3,931,1117
PDIA6,1348619,1515221
LINC01954,259,470
AC092687.1,0,0
KCNF1,6,14
AC062028.1,27,29
C2orf50,66,63
SLC66A3,33700,38733
ROCK2,110396,130854
AC099344.1,1,0
AC099344.2,0,1
LINC00570,7,7
AC099344.3,98,106
E2F6,46338,52921
GREB1,1084,973
NTSR2,1,0
AC106875.2,1,0
LPIN1,80146,86518
AC106875.1,43,76
AC012456.1,3,0
AC012456.2,9,23
MIR3681HG,351,404
AC096559.1,0,0
AC009486.2,161,221
AC009486.1,23,33
TRIB2,26545,34163
AC064875.1,1,0
AC093912.1,0,0
AC073062.1,0,0
LINC00276,47,37
AC016730.1,0,1
AC011897.1,0,0
LRATD1,27,15
AC068286.2,20,14
AC068286.1,22,16
NBAS,86161,100244
AC008278.2,2,2
DDX1,498793,571798
AC008278.1,0,0
LINC01804,0,0
AC113608.2,0,0
MYCNOS,13,8
MYCNUT,0,2
MYCN,77,78
AC010145.1,0,0
GACAT3,2,5
AC130710.1,2,0
AC010745.1,0,0
AC010745.2,11,18
AC010745.3,0,0
AC010745.5,0,0
AC010745.4,0,0
AC010880.1,0,0
AC104623.1,0,0
FAM49A,1378,2024
AC008164.1,14,17
LINC01866,0,0
RAD51AP2,4,7
VSNL1,32,29
SMC6,166871,207519
GEN1,59993,69280
MSGN1,1,1
KCNS3,41,54
AC079148.3,0,0
AC079148.2,0,0
AC079148.1,329,402
RDH14,72580,86132
NT5C1B,153,161
AC106053.1,46,33
AC130814.1,61,65
LINC01376,299,330
OSR1,674,1153
AC010096.1,65,71
LINC01808,7,2
AC019055.1,0,1
LINC00954,8654,9114
TTC32,45106,43355
AC013400.1,2035,2090
WDR35,16857,18504
AC079145.1,155,150
MATN3,13,7
LAPTM4A,96574,109729
LAPTM4A-DT,63,81
AC098828.2,0,0
SDC1,82,102
PUM2,128203,139713
RHOB,21765,25583
AC023137.1,0,0
AC012065.1,0,0
HS1BP3,17798,20477
AC012065.3,140,196
HS1BP3-IT1,11,11
GDF7,356,361
AC012065.4,1425,1509
LDAH,35358,39507
LINC02850,0,0
AC115619.1,0,0
APOB,0,0
AC010872.2,0,0
TDRD15,190,157
AC018742.1,38,29
AC011752.1,69,58
AC009411.2,1,1
AC009411.1,0,0
LINC01822,1,0
AC096570.1,1,4
AC096570.2,0,0
LINC01884,0,0
AC018467.1,8,15
AC012506.1,0,0
AC012506.3,0,0
AC012506.2,0,0
AC012506.4,0,0
KLHL29,392,449
AC011239.1,0,2
AC009242.1,145,151
ATAD2B,63743,76518
UBXN2A,91440,103629
MFSD2B,651,831
WDCP,26479,32945
FKBP1B,7483,8566
SF3B6,858966,937480
FAM228B,26765,28932
TP53I3,14611,16982
PFN4,525,634
AC008073.2,3,0
FAM228A,559,630
AC008073.1,105,111
ITSN2,177350,210638
AC009228.1,1077,1173
AC093798.1,15,22
NCOA1,107005,119034
PTRHD1,214178,236666
CENPO,40155,45864
ADCY3,32026,35822
AC012073.1,2167,2421
DNAJC27,14035,15436
DNAJC27-AS1,2690,2786
AC013267.2,3,0
EFR3B,611,572
POMC,36041,36423
LINC01381,7,9
DNMT3A,127505,147584
AC012074.1,318,321
DTNB,19527,21129
AC104699.1,2,2
ASXL2,144934,170182
KIF3C,5384,5851
RAB10,356805,430548
GAREM2,3793,4152
HADHA,718137,823312
HADHB,174406,198529
AC010896.1,630,686
ADGRF3,6155,6785
SELENOI,65596,77823
DRC1,27,32
OTOF,2624,3140
FAM166C,5,7
CIB4,0,0
AC015977.2,0,0
KCNK3,13,7
SLC35F6,25979,29531
CENPA,119516,135343
DPYSL5,48,39
AC013472.2,0,0
MAPRE3,3171,3468
AC013472.1,29,25
TMEM214,84873,93646
AGBL5,9874,10634
AGBL5-AS1,186,205
AC013472.3,595,717
AGBL5-IT1,13,9
AC013403.2,757,752
OST4,1659269,1776105
EMILIN1,866,933
KHK,18027,19369
CGREF1,5319,7421
ABHD1,1743,1994
PREB,107515,128358
PRR30,0,0
TCF23,24,29
SLC5A6,40588,48774
ATRAID,294542,332395
CAD,79053,90190
SLC30A3,226,248
DNAJC5G,6,5
TRIM54,6171,6676
UCN,2035,2132
MPV17,108844,120667
GTF3C2,47687,52508
GTF3C2-AS1,1109,1272
AC074117.1,9639,11042
EIF2B4,92912,110318
SNX17,257282,299570
ZNF513,10292,11352
PPM1G,1190316,1407405
NRBP1,228098,252070
KRTCAP3,2602,2935
IFT172,7687,8842
FNDC4,219,245
GCKR,3,3
C2orf16,103,123
ZNF512,48677,54989
CCDC121,2213,2503
GPN1,107032,126863
SUPT7L,48853,55220
SLC4A1AP,167746,199450
LINC01460,48,43
MRPL33,532621,566570
RBKS,11347,12189
BABAM2,78927,87360
AC093690.1,5890,5850
AC104695.2,94,100
FOSL2,54236,63705
AC104695.4,778,825
AC104695.3,367,363
AC104695.1,10,6
PLB1,1037,1021
AC074011.1,0,0
AC092164.1,6134,6005
PPP1CB,345334,356864
SPDYA,1566,1767
AC097724.1,204,188
TRMT61B,47198,54718
WDR43,569747,681707
TOGARAM2,6133,7686
PCARE,12,17
AC105398.1,4,6
CLIP4,33310,38518
ALK,147,152
AC074096.1,71,70
AC016907.2,259,252
AC106870.2,0,0
AC106870.1,1,0
YPEL5,99790,100755
LBH,360359,387993
AC109642.1,40,29
LINC01936,321,356
LCLAT1,52699,58553
CAPN13,1,1
AC009301.1,4,1
GALNT14,1312,1153
AC009305.1,0,0
CAPN14,269,247
EHD3,2259,2390
XDH,105,114
SRD5A2,17,18
AL133247.1,0,1
LINC01946,0,1
AL121652.1,1296,1319
MEMO1,26733,28674
DPY30,269290,296940
AL121655.1,208,171
SPAST,84827,100313
AL121658.1,6073,6676
SLC30A6,32070,35398
NLRC4,195,223
YIPF4,168601,184958
AL133245.1,4899,5542
BIRC6,284171,316207
BIRC6-AS1,89,108
AL133243.2,12126,12556
AL133243.3,23801,25501
AL133243.1,256,252
TTC27,49332,59054
LINC00486,28,24
AL133244.2,7,4
LTBP1,1958,1927
AC019127.1,15,9
RASGRP3,6774,7328
AC020594.1,100,120
FAM98A,242745,292630
AC017050.1,304,365
LINC01320,4,8
LINC01318,1,0
AC008170.1,4,11
AC073218.1,2,0
AC012593.1,0,0
AC079352.1,3,6
AC019064.1,0,0
CRIM1-DT,62,74
CRIM1,15571,16939
AC007378.1,320,337
FEZ2,55587,60660
VIT,0,3
STRN,100917,117909
HEATR5B,55219,64215
GPATCH11,168587,200822
EIF2AK2,200587,241507
SULT6B1,0,2
CEBPZOS,217790,228788
CEBPZ,398003,465765
AC007390.2,14042,16394
NDUFAF7,42906,47684
PRKD3,28810,33798
AC007391.1,22,19
AC007391.2,30,27
QPCT,2022,1998
AC007391.3,0,1
AC006369.1,1662,1795
CDC42EP3,69873,85828
AC006369.2,2,1
LINC00211,5,2
RMDN2,5472,6459
RMDN2-AS1,90,75
CYP1B1,152363,127930
CYP1B1-AS1,2585,2586
AC009229.2,1,1
AC009229.3,10,7
AC009229.1,0,0
ATL2,48875,58372
LINC02613,8,7
AC016995.1,4,4
LINC01883,1,0
HNRNPLL,82031,95256
AC011247.1,15,18
GALM,226488,239781
AC074366.1,441,451
SRSF7,1372140,1597100
GEMIN6,175318,204316
DHX57,44300,49759
AC018693.1,58,75
MORN2,50075,55359
ARHGEF33,1001,1177
AC019171.1,1418,1436
SOS1,254872,288376
SOS1-IT1,6494,7169
CDKL4,755,955
MAP4K3,12048,13037
AC007684.2,392,430
MAP4K3-DT,42642,40057
TMEM178A,87,86
THUMPD2,104096,119278
SLC8A1-AS1,50190,53589
SLC8A1,14576,15061
AC007877.1,0,5
AC007317.1,4,3
AC007317.2,0,1
LINC01794,0,1
AC009413.2,0,1
LINC01913,0,1
LINC01914,0,0
C2orf91,13,8
AC013480.1,0,0
PKDCC,82,139
AC083949.1,173,185
EML4,194838,233775
COX7A2L,554769,611072
KCNG3,272,283
MTA3,47517,52276
OXER1,189,142
HAAO,750,574
AC016735.1,0,0
LINC01819,77,61
LINC02590,4,3
LINC02580,10194,11909
AC010883.2,299,339
AC010883.3,6765,7637
ZFP36L2,419140,473642
LINC01126,2288,3186
AC010883.1,2672,2848
THADA,67521,77406
PLEKHH2,4632,3546
C1GALT1C1L,197,140
DYNC2LI1,45062,42476
ABCG5,241,223
ABCG8,2257,2532
LRPPRC,477241,543520
AC019129.2,1328,1441
PPM1B,87604,96962
SLC3A1,2618,2621
PREPL,84302,92493
CAMKMT,35430,39068
LINC01833,49,46
SIX3-AS1,293,263
SIX3,1317,966
AC012354.1,10,11
SIX2,9,12
AC093702.1,1,0
LINC01121,23,23
AC093833.1,0,1
AC009236.2,1,2
AC009236.1,16,17
SRBD1,68391,78487
PRKCE,12797,12605
U51244.1,3,11
AC017006.2,11,18
AC017006.1,0,2
EPAS1,21959,22338
LINC01820,36,34
LINC02583,9,3
TMEM247,0,0
ATP6V1E2,19992,20412
AC018682.2,4,2
RHOQ,50106,59412
AC018682.1,288,329
PIGF,93511,103559
CRIPT,157116,170777
LINC01118,240,266
SOCS5,20349,22157
LINC01119,269,290
AC016722.1,104,116
AC016722.2,302,310
MCFD2,141880,154836
TTC7A,72753,82229
AC093732.2,3,2
AC093732.1,4,5
STPG4,61,58
AC073283.1,39,49
CALM2,2209662,2529542
EPCAM-DT,0,2
AC073283.2,4,5
EPCAM,1063,1016
MSH2,163510,188466
KCNK12,9246,10178
AC138655.1,37,28
MSH6,261596,305129
FBXO11,77672,88441
AC079807.1,1286,1412
AC092650.1,5555,6482
FOXN2,106174,120099
AC093635.1,6216,5799
PPP1R21,54851,65183
STON1,7801,7920
STON1-GTF2A1L,12,10
GTF2A1L,9,3
LHCGR,10,8
AC009975.1,0,0
FSHR,0,1
AC009975.2,0,0
AC009971.1,0,0
NRXN1,17,12
AC068725.1,0,0
AC009234.1,0,0
AC007682.1,3,1
AC007402.1,0,0
AC007402.2,0,1
AC079304.1,0,0
LINC01867,0,1
AC139712.3,0,0
AC010967.1,18,24
AC010967.2,0,0
ASB3,58505,62058
CHAC2,113911,130927
ERLEC1,349251,367933
GPR75,967,1078
PSME4,116478,129366
ACYP2,39145,43843
AC008280.3,717,807
TSPYL6,92,93
C2orf73,11,12
SPTBN1,273853,312312
AC092839.1,11,16
AC092839.2,0,1
AC093110.1,736,765
EML6,867,877
AC104781.1,0,1
AC104781.2,0,0
RTN4,425332,476322
CLHC1,10200,13004
AC012358.1,290,356
RPS27A,15698558,16706373
MTIF2,193000,226363
AC012358.3,2190,2411
CCDC88A,69590,72633
CFAP36,207528,225527
PPP4R3B,210208,245734
AC015982.2,6433,6504
PNPT1,207715,262132
EFEMP1,319,656
AC011306.1,1,1
MIR217HG,0,0
LINC01813,0,0
AC007743.1,107,148
CCDC85A,70,71
AC132153.1,52,50
VRK2,64464,74436
AC068193.1,339,418
FANCL,42533,48733
AC007250.1,661,666
LINC01795,1,0
LINC01122,21,21
LINC01793,16,40
AC007100.1,1,0
AC007179.2,1,0
AC007179.1,2,0
AC007100.2,0,0
AC007132.1,6,4
AC007381.1,10,18
AC007381.2,2,3
BCL11A,51,36
AC009970.1,0,0
PAPOLG,55197,63957
LINC01185,18,20
REL,322237,464755
AC010733.2,0,0
PUS10,35642,39484
PEX13,43922,50762
KIAA1841,16637,18928
AC016747.1,55559,56187
C2orf74,86369,106417
AC016747.2,91,103
USP34,270270,307298
AC016747.3,523,499
AC016727.1,7772,9391
XPO1,497615,585298
AC016727.3,1198,1273
FAM161A,31052,33708
CCT4,1004626,1165177
AC107081.2,309,332
AC107081.4,141,159
COMMD1,254614,306550
AC018462.1,96,133
B3GNT2,163200,178572
AC093159.1,347,380
TMEM17,1522,1521
AC092155.1,6,8
EHBP1,32652,36518
AC092567.2,67,58
AC092567.1,0,1
AC007098.1,1363,1591
OTX1,198,190
AC009501.3,188,223
WDPCP,16353,18216
MDH1,568370,619166
UGP2,243282,264929
VPS54,36008,40735
AC012368.2,166,155
PELI1,51926,50592
AC012368.1,3958,4180
LINC00309,2650,2524
AC114752.1,0,2
AC114752.2,1,0
LGALSL-DT,146,175
LGALSL,8909,10938
LINC01805,6,4
AC008074.2,6530,6969
AFTPH,145867,164718
LINC02579,6,6
SERTAD2,92232,99387
AC007365.1,1239,1436
AC007880.1,2,2
LINC01800,17,19
LINC02245,21933,24702
SLC1A4,106335,112672
LINC02576,263,290
CEP68,36859,39598
RAB1A,191741,209723
ACTR2,1118725,1197904
SPRED2,7267,7469
AC012370.1,20,16
AC007389.1,41,35
AC012370.2,1,0
AC007389.3,4,8
AC007389.5,5,5
AC118345.1,0,0
AC092669.1,1,1
LINC01873,588,708
MEIS1-AS3,0,1
MEIS1,930,1387
MEIS1-AS2,51,57
LINC01798,1,0
LINC01797,0,0
LINC01799,0,0
LINC01628,0,0
AC007403.1,1,0
LINC01828,33,33
LINC01829,172,194
AC023115.1,1,0
ETAA1,54595,60338
LINC02831,0,0
AC007422.1,0,0
AC010987.1,0,0
LINC01812,0,1
C1D,363461,408676
WDR92,51415,56701
PNO1,277149,336103
PPP3R1,89102,101785
AC017083.2,1005,1049
AC017083.1,11780,13542
CNRIP1,71,131
AC015969.1,8,10
PLEK,10558,16623
FBXO48,20063,22968
APLF,9136,10573
PROKR1,14,11
ARHGAP25,102402,121625
LINC01890,24,19
LINC01888,62,86
BMP10,540,360
GKN2,1,1
GKN1,0,0
ANTXR1,271,355
AC114802.1,0,2
GFPT1,150454,169614
NFU1,93885,112894
AAK1,602244,628847
ANXA4,173564,196726
AC092431.1,1,1
GMCL1,201235,228415
SNRNP27,354431,384929
MXD1,47881,51166
ASPRV1,772,866
PCBP1-AS1,60909,64425
PCBP1,814031,907573
AC016700.3,29,33
LINC01816,4818,5143
C2orf42,15356,17399
TIA1,136286,157213
PCYOX1,44385,46288
SNRPG,1836016,2027845
FAM136A,456578,535140
AC022201.2,33,30
AC022201.1,0,0
TGFA,52,70
TGFA-IT1,1,0
ADD2,1796,1616
AC005234.2,0,1
AC005234.1,0,0
FIGLA,47,34
CLEC4F,445,355
CD207,2,2
LINC01143,22,11
VAX2,48,47
ATP6V1B1,18,30
ANKRD53,45,38
TEX261,69385,79439
AC007040.1,6,11
AC007881.2,2,2
NAGK,80871,96620
AC007881.3,995,1213
MCEE,33129,37164
AC007881.4,463,541
MPHOSPH10,318245,392494
PAIP2B,11632,11870
ZNF638,248580,288673
AC007878.1,5864,6253
DYSF,1029,1056
CYP26B1,54,56
EXOC6B,11462,13138
SPR,10358,11927
EMX1,643,1045
AC012366.1,0,0
SFXN5,25422,30479
RAB11FIP5,5575,5720
AC010913.1,570,626
NOTO,2,4
SMYD5,23501,27410
PRADC1,46166,55400
CCT7,775717,915986
FBXO41,22047,24495
EGR4,664,269
AC069404.1,0,0
AC074008.2,0,0
ALMS1,25830,28248
ALMS1-IT1,4426,4825
AC074008.1,726,826
NAT8,1,1
TPRKB,250826,288106
AC092653.1,477,515
DUSP11,95570,111873
C2orf78,11,10
AC073046.4,2537,2669
STAMBP,232781,235655
AC073046.3,72,83
ACTG2,3998,5016
DGUOK,460674,492033
DGUOK-AS1,19030,18844
AC073046.1,481,550
TET3,30624,35698
AC073263.1,163,191
BOLA3,524743,570261
BOLA3-AS1,14496,14859
MOB1A,555827,622846
AC073263.2,3198,3904
MTHFD2,674081,732833
SLC4A5,2213,2260
DCTN1,141586,155390
DCTN1-AS1,364,315
C2orf81,1807,1971
AC005041.4,994,1412
WDR54,250605,251581
RTKN,4777,4726
INO80B,88486,106451
WBP1,78058,86331
MOGS,81259,91738
AC005041.5,2318,2406
MRPL53,20579,22509
CCDC142,18357,21483
TTC31,45349,49740
