,CD,BA
AL589702.1,0,0
ACTRT2,0,0
PRDM16-DT,0.000402435506041437,0.000359086266834661
PRDM16,0.0116252929752104,0.012159069875287
AL008733.1,0,0
AL590438.1,0.000804758785195764,0.000359086266834661
AL354743.2,0,0.000359086266834661
AL354743.1,0,0.000718083179468902
ARHGEF16,0.000402435506041437,0
AL512413.1,0,0
MEGF6,0.27443277067274,0.241798870339513
AL513320.1,0.432797363136159,0.497465451242885
TPRG1L,3.07748094364818,3.12845477388451
WRAP73,4.05284956620138,4.12549112775911
TP73,0.365972935614651,0.458009047517814
AL136528.1,0.000804758785195764,0.0017945382365862
AL136528.2,0,0.000359086266834661
CCDC27,0.00922773359690706,0.0071647985608931
SMIM1,0.370650019196534,0.344647618146098
LRRC47,4.39549171421187,4.42077102537108
AL365330.1,0.00722671929726788,0.00430314758922484
CEP104,4.19793817072345,4.27711108284162
DFFB,2.84299389654123,2.82954684134242
C1orf174,4.98464008556729,5.08502013357643
LINC01134,0.251963094928944,0.239062855883927
LINC01346,0.00442062839543351,0.00251172898451452
LINC01345,0,0
LINC02780,0,0
AL805961.1,0.0219689199369564,0.0213885244414332
LINC01777,0,0
AL355602.1,0,0
Z98747.1,0,0
LINC01646,0,0
AJAP1,0.000804758785195764,0.00143580911993593
Z98886.1,0.0156123922223108,0.0146497370868072
BX005132.1,0,0
LINC02781,0,0
LINC02782,0,0
AL139823.1,0,0
Z98259.3,0.000804758785195764,0.000359086266834661
Z98259.2,0,0
Z98259.1,0,0
AL365255.1,0.0255321973349271,0.022449672011315
NPHP4,1.43497092215315,1.42853501001569
KCNAB2,6.39669493448235,6.3084222913319
CHD5,0.216722840946841,0.252992731673992
RPL22,10.5980945627555,10.5720672763123
AL031847.1,0.153716289702933,0.124806940265371
RNF207,2.58777386352679,2.59599826115622
ICMT,4.62447396820435,4.6918420673332
LINC00337,0.531052103813817,0.530162866899812
HES3,0,0
GPR153,0.22052768325573,0.238454147383366
ACOT7,5.08016965734358,5.09178639018965
AL031848.2,0.700376254495065,0.712162654200833
HES2,0.26709318915414,0.327578090194103
ESPN,0.546015625960983,0.523932187555933
AL031848.1,0,0
TNFRSF25,5.29975242301491,5.33963932447443
PLEKHG5,0.502357099547034,0.560188392615793
NOL9,4.78589176099677,4.92487431684803
TAS1R1,0.00682618317343863,0.00787932527409553
ZBTB48,2.54537938688893,2.56325705117139
KLHL21,2.67045393407296,2.71776634116268
PHF13,3.21936698790993,3.22194865962118
THAP3,4.22979986472448,4.25192331817
DNAJC11,4.51589394183041,4.62569372322638
LINC01672,0.00482183283877238,0.00430314758922484
AL591163.1,0.00120696990003879,0.00537693199483168
CAMTA1-DT,0.0972689404513313,0.0837149089547156
CAMTA1,6.105161329064,6.05803117070061
AL512330.1,0,0
CAMTA1-IT1,0.0195885028976803,0.0220960428706441
Z97987.1,0,0.000359086266834661
AL365194.1,0,0
AL359881.3,0.000402435506041437,0
AL359881.2,0,0
AL359881.1,0,0.000718083179468902
VAMP3,3.59866546847847,3.63475986776267
Z98884.2,0.125584212883986,0.123818495890592
PER3,1.62703140814255,1.6141889166676
Z98884.1,0.615440968336093,0.635866376861801
UTS2,1.52499360359248,2.09833537098985
TNFRSF9,7.59089479403364,7.918460603423
PARK7,9.41757062755304,9.44941515010279
AL034417.4,0.685937757219269,0.743174700392019
AL034417.3,0.551518521227686,0.542297489575417
ERRFI1,1.22683369706006,1.26780635741567
AL034417.2,0.00321634519607853,0.00394504177884949
LINC01714,0,0.000359086266834661
AL358876.2,0,0.000359086266834661
SLC45A1,0.0912363525730675,0.0826978960405368
RERE,5.89479759032986,5.8955464182259
RERE-AS1,0.249256609425761,0.245741753303663
AL357552.2,0.0373466253351354,0.0351229338761919
ENO1,10.7737763817672,10.7457878393221
ENO1-AS1,0.85724064579048,0.867271230300221
CA6,0.834849954984627,0.878840015635863
SLC2A7,0.00241293088367391,0.0017945382365862
SLC2A5,0.0060247771682219,0.00215317817667045
GPR157,1.87255492993906,1.64057541755171
MIR34AHG,2.32950400664129,2.26211397866456
LNCTAM34A,1.27303280128945,1.34984435899959
H6PD,3.20961078149644,3.12137388288268
SPSB1,2.8223722442641,2.8072983670579
BX323043.1,0.00882775270752281,0.00394504177884949
LINC02606,0.167758419792753,0.149624271051477
AL928921.1,0,0.000359086266834661
SLC25A33,4.56893464429477,4.73858460644952
TMEM201,2.42155495936975,2.48657782436323
PIK3CD,5.14569220957233,5.11211489016882
PIK3CD-AS1,0.692926109338512,0.706891874607819
PIK3CD-AS2,0.991237371413696,0.965254952304234
CLSTN1,4.57293115350335,4.61633868371942
CTNNBIP1,3.25099654665138,3.33655460040037
AL357140.1,0.00321634519607853,0.00215317817667045
AL357140.4,0.00120696990003879,0.00215317817667045
LZIC,5.66349958489244,5.70813790508071
AL357140.2,0.110750734987434,0.0965353993542364
NMNAT1,3.25289778123831,3.27755897123113
AL603962.1,0,0
RBP7,0.0683867895545757,0.064267991682351
UBE4B,4.00799870763035,3.98652018301294
KIF1B,4.22184084915591,4.11808544837296
AL139424.3,0.35311099896339,0.32098084758201
AL139424.2,0.286032964346737,0.271557471420269
PGD,5.45797067707521,5.44383231384618
AL139424.1,0.209082919647143,0.203326230584867
CENPS,4.95042225790527,4.98733350250129
CORT,1.65988309936415,1.65124791406534
DFFA,5.813583332131,5.88912535187993
AL354956.1,0.0687705963145684,0.0611733207745311
PEX14,3.23556760163754,3.28166398150808
AL139423.2,0.153716289702933,0.14280942453934
CASZ1,2.10905093991392,2.16567757656654
AL139423.1,0.146825420319891,0.161232489427895
C1orf127,0.00160906891309431,0.00215317817667045
TARDBP,6.28629688554865,6.2788949082506
MASP2,0.122999339386905,0.132362598618568
AL109811.2,1.50300906037354,1.45432010552608
SRM,7.99424747893138,8.16391986248816
EXOSC10,5.31264107954222,5.36300443112098
AL109811.1,0.383048616961523,0.349447492201364
EXOSC10-AS1,1.21890148486248,1.14050070845717
MTOR,4.32821760427937,4.39042348476353
MTOR-AS1,0.00722671929726788,0.012159069875287
ANGPTL7,0.0525621467710586,0.0580719973318026
UBIAD1,3.79173653871653,3.82219792892266
AL031291.1,0.000402435506041437,0
DISP3,0.0653126541125984,0.0462953490344058
AL590989.1,0.00361788463621967,0.0046611645326223
LINC01647,0.00482183283877238,0.00322856338062023
AL031731.1,0.00882775270752281,0.00680740245350938
FBXO2,0.214990044379888,0.265594907575051
FBXO44,1.72889849519023,1.76476970784459
FBXO6,2.52566407144296,2.71004835630272
MAD2L2,5.19399173058209,5.21681504273535
DRAXIN,0.23427949474483,0.298672255734684
AGTRAP,3.01472274629707,3.17715055806641
C1orf167,0.0219689199369564,0.0288002188308032
AL953897.1,0.000804758785195764,0.000359086266834661
MTHFR,2.93207136043015,2.88178837061899
CLCN6,1.62167885665234,1.5618700105586
NPPA,0.0116252929752104,0.0132270252400112
NPPB,0.00120696990003879,0.000718083179468902
AL021155.5,4.08969708831413,4.17613409860921
KIAA2013,4.56036247724502,4.56897937076986
PLOD1,3.03803921001186,2.99278653648623
AL096840.2,0.0498429456032475,0.0459475175348824
MFN2,3.97482335543653,4.01024911298129
MIIP,5.08547827767261,5.16176736391426
TNFRSF8,3.94969842674771,3.92408414933532
AL357835.1,0.196142013043663,0.202078004065427
TNFRSF1B,6.73936100253602,6.78308569091197
VPS13D,3.79776887428274,3.81167371275174
LINC02766,0.00642553581768898,0.0071647985608931
DHRS3,5.05286884611961,5.01334161304434
AC254633.1,0.214990044379888,0.164440487422104
AADACL4,0.000804758785195764,0.00107699078236105
AADACL3,0,0
C1orf158,0.00160906891309431,0.00107699078236105
PRAMEF12,0,0
PRAMEF1,0,0
LINC01784,0,0
PRAMEF11,0,0
HNRNPCL1,0.0775700874827972,0.0843925194864712
PRAMEF2,0,0
PRAMEF4,0,0
PRAMEF10,0,0
PRAMEF7,0,0
PRAMEF6,0,0
PRAMEF27,0,0
HNRNPCL3,0,0
PRAMEF25,0,0
HNRNPCL2,0.000402435506041437,0.000718083179468902
AC245056.1,0,0
PRAMEF26,0,0
HNRNPCL4,0,0
PRAMEF9,0,0
PRAMEF13,0,0
PRAMEF18,0.000402435506041437,0.000718083179468902
PRAMEF5,0,0
PRAMEF8,0,0
PRAMEF33,0,0
PRAMEF15,0,0
AC243961.1,0,0
PRAMEF14,0,0.000359086266834661
PRAMEF19,0,0
PRAMEF17,0.000402435506041437,0
PRAMEF20,0,0
LRRC38,0,0.000718083179468902
AL354712.1,0,0
PDPN,0.0020110558868329,0.000359086266834661
AL359771.1,0,0
PRDM2,5.91075478873016,5.90642461090966
KAZN,0.540491660516986,0.547466959507906
AL357873.1,0.00160906891309431,0.00107699078236105
KAZN-AS1,0.00160906891309431,0.000359086266834661
AL031293.1,0.0164084915030221,0.0171361118225168
TMEM51-AS1,0.0028146939659842,0.00322856338062023
TMEM51,0.0168063764669428,0.0164261561859623
C1orf195,0,0
FHAD1,0.0428270888737447,0.0438587656015112
AL031283.2,0.0132214551892937,0.0100207845531081
AL031283.3,0,0.000359086266834661
AL031283.1,0.135877641199123,0.117873565652629
